

Question,"If there is an investment, should it be used to hire more IT agents, improve training programs, or upgrade ticket management software?"

,,,,
,,,,
Answer,,,,
,,,,
,Row Labels,Count of ID Ticket,Average of Resolution Time (Days),Average of Satisfaction Rate
,2016,13051,4.6,4.0
,2017,14915,4.5,4.1
,2018,18954,4.6,4.1
,2019,21490,4.5,4.1
,2020,29088,4.6,4.2
,Grand Total,97498,4.6,4.1
,,,,
,,,,
,,,,
,Agent ID,Average of Resolution Time (Days),Average of Satisfaction Rate,Count of ID Ticket
,1,5.4,4.3,1969
,2,3.6,4.5,1968
,3,5.4,3.6,2021
,4,5.2,4.2,1988
,5,4.3,4.4,2000
,6,5.3,3.6,1949,,Fetcha - Year,Average of Resolution Time (Days),Average of Satisfaction Rate,Count of ID Ticket
,7,5.5,4.0,1935,,2016,,,
,8,3.8,4.4,1960,,Hardware,7.8,4.0,1272
,9,4.5,3.7,1949,,Login Access,0.3,4.0,3910
,10,4.3,4.4,1974,,Software,5.3,4.0,2617
,11,4.8,3.6,1956,,System,6.6,4.0,5252
,12,4.1,4.5,1897,,2017,,,
,13,5.3,4.3,1856,,Hardware,7.6,4.1,1523
,14,4.9,4.1,1942,,Login Access,0.3,4.1,4526
,15,3.7,4.5,1991,,Software,5.2,4.1,2946
,16,4.3,3.7,1926,,System,6.6,4.1,5920
,17,3.7,4.3,1961,,2018,,,
,18,4.7,4.0,1892,,Hardware,7.5,4.1,1844
,19,5.0,3.0,1984,,Login Access,0.3,4.1,5672
,20,4.4,4.1,1920,,Software,5.2,4.1,3735
,21,3.7,4.4,1889,,System,6.7,4.1,7703
,22,5.5,3.6,1966,,2019,,,
,23,4.6,4.4,1915,,Hardware,7.5,4.1,2161
,24,4.2,4.4,2003,,Login Access,0.3,4.1,6426
,25,5.2,3.6,1906,,Software,5.3,4.1,4407
,26,4.8,4.0,1963,,System,6.5,4.1,8496
,27,3.7,4.2,1968,,2020,,,
,28,5.4,3.6,1946,,Hardware,7.7,4.1,2933
,29,3.7,4.5,1931,,Login Access,0.3,4.2,8659
,30,4.9,3.8,1963,,Software,5.3,4.2,5865
,31,3.7,4.4,1987,,System,6.7,4.2,11631
,32,4.9,4.1,1974,,Grand Total,4.6,4.1,97498
,33,4.8,3.6,1958,,,,,
,34,3.6,4.6,1927,,,,,
,35,4.4,4.4,2007,,,,,
,36,3.9,4.2,1913,,,,,
,37,4.6,3.7,1931,,,,,
,38,4.6,4.4,1938,,,,,
,39,5.6,4.3,2026,,,,,
,40,4.3,3.7,1920,,,,,
,41,4.6,3.8,1966,,,,,
,42,4.1,4.4,1945,,,,,
,43,3.8,3.9,1897,,,,,
,44,4.7,4.4,1943,,,,,
,45,3.7,3.8,1929,,,,,
,46,5.3,4.3,1950,,,,,
,47,3.8,4.2,1933,,,,,
,48,4.5,4.4,2027,,,,,
,49,5.3,4.4,1890,,,,,
,50,5.5,4.2,1949,,,,,
,Grand Total,4.6,4.1,97498,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,
